frame,timestamp,status,cap_method,has_yellow,row_y0,row_y1,best_mask,best_raw,pct,exp,cur_max_exp,max_exp_est,max_exp_dev_pct,val_result,all_masks
1,23:18:13.603,ok,mss,1,23(x360),35(x1560),YellowAware,.360.562.689.828[45.430%],45.430,"360,562,689,828",0.794T,,,pass,"[{""mask"": ""YellowAware"", ""raw"": "".360.562.689.828[45.430%]"", ""pct"": ""45.430"", ""exp"": ""360,562,689,828""}, {""mask"": ""Bright"", ""raw"": "".360.562.689.828[45.430%]"", ""pct"": ""45.430"", ""exp"": ""360,562,689,828""}]"
2,23:18:14.996,ok,mss,1,23(x360),35(x1560),YellowAware,".361,086.870.696[45.431%]",45.431,"361,086,870,696",0.795T,0.794T,0.1432%,pass,"[{""mask"": ""YellowAware"", ""raw"": "".361,086.870.696[45.431%]"", ""pct"": ""45.431"", ""exp"": ""361,086,870,696""}, {""mask"": ""Bright"", ""raw"": "".361,086.870.696[45.431%]"", ""pct"": ""45.431"", ""exp"": ""361,086,870,696""}]"
3,23:18:16.262,ok,mss,1,23(x360),35(x1560),YellowAware,".361.420,060.754[45.431%]",45.431,"361,420,060,754",0.796T,0.794T,0.2212%,pass,"[{""mask"": ""YellowAware"", ""raw"": "".361.420,060.754[45.431%]"", ""pct"": ""45.431"", ""exp"": ""361,420,060,754""}, {""mask"": ""Bright"", ""raw"": "".361.420,060.754[45.431%]"", ""pct"": ""45.431"", ""exp"": ""361,420,060,754""}]"
4,23:18:17.509,ok,mss,1,23(x360),35(x1560),YellowAware,"[1 420,.060.754[48.431%]",48.431,"420,060,754",0.001T,0.794T,99.8908%,L1 maxexp偏差99.89%,"[{""mask"": ""YellowAware"", ""raw"": ""[1 420,.060.754[48.431%]"", ""pct"": ""48.431"", ""exp"": ""420,060,754""}, {""mask"": ""Bright"", ""raw"": ""[1 420,.060.754[48.431%]"", ""pct"": ""48.431"", ""exp"": ""420,060,754""}]"
5,23:18:18.755,fail,mss,1,23(x360),35(x1560),YellowAware,"[1177.961,943,.259.327 4]",,,,,,err:could not convert string to float: '',"[{""mask"": ""YellowAware"", ""raw"": ""[1177.961,943,.259.327 4]"", ""pct"": """", ""exp"": """"}, {""mask"": ""Bright"", ""raw"": ""[1177.961,943,.259.327 4]"", ""pct"": """", ""exp"": """"}]"
6,23:18:20.033,ok,mss,1,23(x360),35(x1560),YellowAware,.363.896.573.386[45.431%],45.431,"363,896,573,386",0.801T,0.794T,0.8856%,pass,"[{""mask"": ""YellowAware"", ""raw"": "".363.896.573.386[45.431%]"", ""pct"": ""45.431"", ""exp"": ""363,896,573,386""}, {""mask"": ""Bright"", ""raw"": "".363.896.573.386[45.431%]"", ""pct"": ""45.431"", ""exp"": ""363,896,573,386""}]"
7,23:18:21.313,fail,mss,1,23(x360),35(x1560),YellowAware,"1177.964.133,.662.086[ ]",,,,,,err:could not convert string to float: '',"[{""mask"": ""YellowAware"", ""raw"": ""1177.964.133,.662.086[ ]"", ""pct"": """", ""exp"": """"}, {""mask"": ""Bright"", ""raw"": ""1177.964.133,.662.086[ ]"", ""pct"": """", ""exp"": """"}]"
8,23:18:22.566,fail,mss,1,23(x360),35(x1560),YellowAware,"1177.964,7939,987.919[ 4]",,,,,,err:could not convert string to float: '',"[{""mask"": ""YellowAware"", ""raw"": ""1177.964,7939,987.919[ 4]"", ""pct"": """", ""exp"": """"}, {""mask"": ""Bright"", ""raw"": ""1177.964,7939,987.919[ 4]"", ""pct"": """", ""exp"": """"}]"
9,23:18:23.816,fail,mss,1,23(x360),35(x1560),YellowAware,"177.968.943,384.684[48.",,,,,,err:could not convert string to float: '',"[{""mask"": ""YellowAware"", ""raw"": ""177.968.943,384.684[48."", ""pct"": """", ""exp"": """"}, {""mask"": ""Bright"", ""raw"": ""177,968.943,.384.684[48."", ""pct"": """", ""exp"": """"}]"
10,23:18:25.539,ok,mss,1,23(x360),35(x1560),YellowAware,.367.181.273.250[48.432%],48.432,"367,181,273,250",0.758T,0.795T,4.5958%,L1 maxexp偏差4.60%,"[{""mask"": ""YellowAware"", ""raw"": "".367.181.273.250[48.432%]"", ""pct"": ""48.432"", ""exp"": ""367,181,273,250""}, {""mask"": ""Bright"", ""raw"": "".367.181.273.250[48.432%]"", ""pct"": ""48.432"", ""exp"": ""367,181,273,250""}]"
